	dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Sample-1-86-722-506-Medela	39517	17960	17775	17801	16718	13513	34.2
Sample-1-98-724-507-Medela	56448	29096	28648	28658	26407	19715	34.9
Sample-2-102-726-504-Medela	22178	8433	8323	8264	7739	6301	28.4
Sample-2-11-727-506-Medela	42543	23218	22985	23001	22561	16801	39.5
Sample-2-110-727-504-Medela	29445	12565	12311	12305	11669	8993	30.5
Sample-2-139-728-507-Medela	140165	77035	76389	76634	71870	40852	29.1
Sample-2-184-727-505-Medela	39905	21130	20989	20919	20097	14591	36.6
Sample-2-188-728-501-Medela	23600	11531	11293	11398	10854	8135	34.5
Sample-2-189-729-502-Medela	37564	22651	22342	22412	20605	12763	34
Sample-2-191-728-506-Medela	28059	12219	12054	12124	11792	9679	34.5
Sample-2-193-729-504-Medela	22009	11391	11223	11219	11040	8717	39.6
Sample-2-194-729-501-Medela	28940	15092	14602	14709	13125	9285	32.1
Sample-2-196-729-503-Medela	38476	21701	21450	21438	20403	13172	34.2
Sample-2-197-726-505-Medela	37185	17867	17661	17703	16990	13577	36.5
Sample-2-20-716-520-Medela	67348	31150	30753	30816	29490	21017	31.2
Sample-2-203-726-506-Medela	45085	22807	22649	22628	22174	16688	37
Sample-2-210-726-508-Medela	37273	20080	19926	19930	19181	15403	41.3
Sample-2-216-726-507-Medela	34965	16058	15725	15768	15170	12265	35.1
Sample-2-228-727-507-Medela	36120	18012	17881	17802	16700	11574	32
Sample-2-39m-716-518-Medela	53295	26994	26779	26831	26074	18211	34.2
Sample-2-4m-728-502-Medela	44165	24629	24214	24349	22744	16098	36.4
Sample-2-61-728-505-Medela	95839	55054	54845	54843	53710	43287	45.2
Sample-2-62-728-508-Medela	34730	19548	19314	19386	18919	13050	37.6
Sample-2-70-727-503-Medela	42108	25047	24880	24973	24590	18202	43.2
Sample-2-73-729-508-Medela	32421	20172	20070	20099	19977	17219	53.1
Sample-2-73m-716-515-Medela	87586	43546	42982	43172	42168	22584	25.8
